TimeWindow, Subwindow, Flight, RiskCategory, O1, O2
30, 0, Flight6, SELECTEE, -0.0022262473872994917, 0.0022262473872994917
30, 0, Flight6, UNKNOWN, 1.8546693473034623E-5, -1.8546693473034623E-5
30, 0, Flight6, LOWRISK1, -1.8214648026949922E-4, 1.8214648026949922E-4
30, 0, Flight7, SELECTEE, -3.6948101367638745E-4, 3.6948101367638745E-4
30, 0, Flight7, UNKNOWN, 2.505181587576074E-5, -2.505181587576074E-5
30, 0, Flight7, LOWRISK1, -8.316285478383646E-4, 8.316285478383646E-4
30, 0, Flight8, SELECTEE, -0.036554662892869474, 0.036554662892869474
30, 0, Flight8, UNKNOWN, -1.86525918004837E-4, 1.86525918004837E-4
30, 0, Flight8, LOWRISK1, 4.3428411115219773E-5, -4.3428411115219773E-5
30, 0, Flight9, SELECTEE, -4.019431867768811E-4, 4.019431867768811E-4
30, 0, Flight9, UNKNOWN, 5.817385285198188E-6, -5.817385285198188E-6
30, 0, Flight9, LOWRISK1, -0.0015440328209925126, 0.0015440328209925126
30, 0, Flight10, SELECTEE, -1.7232254234855822E-4, 1.7232254234855822E-4
30, 0, Flight10, UNKNOWN, -4.8490813097533766E-5, 4.8490813097533766E-5
30, 0, Flight10, LOWRISK1, -2.3723501654788782E-4, 2.3723501654788782E-4
30, 0, Flight11, SELECTEE, -4.2006473833739976E-5, 4.2006473833739976E-5
30, 0, Flight11, UNKNOWN, -2.1405006528066786E-5, 2.1405006528066786E-5
30, 0, Flight11, LOWRISK1, 6.311285549426008E-5, -6.311285549426008E-5
30, 0, Flight12, SELECTEE, -0.0019444041499991848, 0.0019444041499991848
30, 0, Flight12, UNKNOWN, 1.1692132741029712E-5, -1.1692132741029712E-5
30, 0, Flight12, LOWRISK1, -9.216717054308305E-5, 9.216717054308305E-5
30, 0, Flight13, SELECTEE, -3.5342998472822794E-4, 3.5342998472822794E-4
30, 0, Flight13, UNKNOWN, -4.308037986784115E-5, 4.308037986784115E-5
30, 0, Flight13, LOWRISK1, 1.031659135245425E-4, -1.031659135245425E-4
30, 0, Flight14, SELECTEE, -8.096518856598789E-4, 8.096518856598789E-4
30, 0, Flight14, UNKNOWN, 1.4733910470669555E-5, -1.4733910470669555E-5
30, 0, Flight14, LOWRISK1, 2.3129774129321723E-5, -2.3129774129321723E-5
30, 0, Flight15, SELECTEE, -2.5833946111698775E-4, 2.5833946111698775E-4
30, 0, Flight15, UNKNOWN, -5.17777060100295E-6, 5.17777060100295E-6
30, 0, Flight15, LOWRISK1, 3.7578008245232735E-5, -3.7578008245232735E-5
30, 0, Flight16, SELECTEE, -1.3180065383544112E-4, 1.3180065383544112E-4
30, 0, Flight16, UNKNOWN, 2.292968386979041E-5, -2.292968386979041E-5
30, 0, Flight16, LOWRISK1, 7.337720565129966E-5, -7.337720565129966E-5
30, 0, Flight17, SELECTEE, -1.0978832003965804E-4, 1.0978832003965804E-4
30, 0, Flight17, UNKNOWN, 1.5322077689702538E-5, -1.5322077689702538E-5
30, 0, Flight17, LOWRISK1, -0.0011087206236446417, 0.0011087206236446417
30, 0, Flight18, SELECTEE, -8.831668110236374E-15, 8.831668110236374E-15
30, 0, Flight18, UNKNOWN, 1.6909628878000937E-5, -1.6909628878000937E-5
30, 0, Flight18, LOWRISK1, -0.00320822444988525, 0.00320822444988525
30, 0, Flight19, SELECTEE, -6.463626973615686E-4, 6.463626973615686E-4
30, 0, Flight19, UNKNOWN, 2.3557459504581298E-5, -2.3557459504581298E-5
30, 0, Flight19, LOWRISK1, -2.3993411325030372E-4, 2.3993411325030372E-4
30, 0, Flight20, SELECTEE, -4.310297425386936E-5, 4.310297425386936E-5
30, 0, Flight20, UNKNOWN, -3.1883441257428563E-6, 3.1883441257428563E-6
